Date,Open,High,Low,Close
08/01/2019,"215.35","219.02","211.26","217.62"
07/31/2019,"209.12","217.99","208.73","215.35"
07/30/2019,"211.67","215.10","204.90","209.22"
07/29/2019,"207.59","214.80","198.62","211.67"
07/28/2019,"207.91","211.41","206.07","207.80"
07/27/2019,"218.23","224.01","202.91","207.78"
07/26/2019,"218.41","220.62","212.81","218.96"
07/25/2019,"215.59","225.44","214.50","218.59"
07/24/2019,"217.93","217.99","202.61","215.20"
07/23/2019,"218.23","218.95","208.79","217.62"
07/22/2019,"223.28","228.04","211.92","218.17"
07/21/2019,"232.54","234.73","217.94","223.08"
07/20/2019,"220.69","235.73","219.50","232.51"
07/19/2019,"225.20","230.09","214.70","220.75"
07/18/2019,"213.00","228.56","206.82","225.24"
07/17/2019,"203.20","219.51","192.73","213.00"
07/16/2019,"231.50","234.57","191.14","203.40"
07/15/2019,"236.96","237.11","212.65","231.14"
07/14/2019,"264.59","270.00","230.60","237.60"
07/13/2019,"276.97","277.48","263.47","264.58"
07/12/2019,"266.31","279.02","264.92","276.98"
07/11/2019,"287.47","289.96","263.00","266.01"
07/10/2019,"304.57","314.63","283.01","287.86"
07/09/2019,"310.52","318.42","303.10","304.73"
07/08/2019,"306.74","312.80","302.56","310.45"
07/07/2019,"292.59","310.19","284.62","305.95"
07/06/2019,"286.86","297.62","286.37","292.37"
07/05/2019,"293.00","294.99","280.62","286.62"
07/04/2019,"293.71","303.62","291.91","293.00"
07/03/2019,"287.50","301.01","285.42","294.07"
07/02/2019,"288.73","295.99","271.60","288.44"
07/01/2019,"303.38","303.38","278.97","288.27"
06/30/2019,"312.62","323.50","288.26","303.50"
06/29/2019,"306.77","314.31","291.68","312.50"
06/28/2019,"289.13","312.34","282.91","306.77"
06/27/2019,"338.30","343.25","274.56","288.28"
06/26/2019,"308.67","362.89","308.50","338.28"
06/25/2019,"305.87","314.62","305.87","308.74"
06/24/2019,"313.71","317.77","295.19","305.90"
06/23/2019,"305.24","315.87","299.75","313.40"
06/22/2019,"293.94","314.56","290.70","305.29"
06/21/2019,"272.62","295.55","271.14","294.00"
06/20/2019,"268.06","274.11","266.51","272.49"
06/19/2019,"263.84","270.00","261.22","267.90"
06/18/2019,"272.62","275.49","262.01","263.84"
06/17/2019,"266.38","275.74","265.76","273.00"
06/16/2019,"269.59","278.80","263.35","266.38"
06/15/2019,"258.25","273.78","258.00","269.54"
06/14/2019,"258.99","262.00","252.27","258.24"
06/13/2019,"255.64","264.42","255.64","258.99"
06/12/2019,"244.60","260.59","243.34","255.64"
06/11/2019,"244.19","248.90","237.62","244.72"
06/10/2019,"231.29","246.77","226.86","244.19"
06/09/2019,"243.64","245.41","229.00","231.75"
06/08/2019,"247.74","252.06","241.70","243.65"
06/07/2019,"241.24","254.11","241.17","247.98"
